release_year,genres,popularity,vote,profit,revenue
1984,Action,22.973937250000002,6.308333333333334,6.112972582323232,84625487.25
1984,Adventure,26.853872857142857,6.385714285714286,3.91872879218065,86292929.14285715
1984,Comedy,15.526252777777778,6.199999999999999,9.748515241073232,77060240.33333333
1984,Crime,20.6087555,6.866666666666667,9.40665272266922,83265005.83333333
1984,Drama,22.1697571,6.8,3.0075092465360402,32179280.0
1984,Family,36.448077999999995,6.7,5.25351869828365,50097105.0
1984,Fantasy,24.741365000000002,6.116666666666667,5.052717063406285,60986960.666666664
1984,History,16.270544,7.066666666666666,2.210128535,29258048.0
1984,Horror,18.474633428571426,6.271428571428571,7.586607128567728,34409014.14285714
1984,Music,21.81721333333333,6.933333333333334,4.364950763947295,52645717.333333336
1984,Mystery,9.525626,6.4,0.880194,8801940.0
1984,Romance,18.453319333333333,6.366666666666667,6.311709513947295,58595152.333333336
1984,Science Fiction,18.217147625,6.15,3.192348662380952,25973467.5
1984,Thriller,21.080576714285712,6.428571428571429,6.064750500470957,37844383.428571425
1985,Action,18.3127697,6.14,2.6401542738706976,57965218.7
1985,Adventure,25.9316999,6.42,4.499157953115207,98994109.1
1985,Comedy,28.2573014,7.159999999999999,5.808744129449204,84710518.2
1985,Crime,12.832674333333332,6.933333333333334,1.9085275833333333,22902331.0
1985,Drama,10.546187100000001,7.1,3.3760704499360954,38534839.6
1985,Family,24.836879500000002,7.4,6.834640188771931,98061890.75
1985,Fantasy,11.23907975,6.175,0.4388259569273743,9129608.5
1985,Horror,15.8834304,6.24,6.648329039826839,20033326.2
1985,Music,0.720091,7.0,0.0,0.0
1985,Mystery,8.321586,6.7,0.0,0.0
1985,Romance,10.087526666666667,6.883333333333333,inf,25327958.333333332
1985,Science Fiction,30.800625333333333,6.216666666666666,6.543383694454748,75223330.16666667
1985,Thriller,17.989096555555555,6.144444444444444,4.1934373267045455,66817384.666666664
1985,War,38.653969,6.3,6.827282545454546,300400432.0
1985,Western,12.7780165,7.05,inf,20705284.0
1986,Action,37.307614,6.757142857142857,8.86912795102817,111270794.28571428
1986,Adventure,16.895213428571427,5.771428571428571,10.740547918095237,79703063.57142857
1986,Comedy,13.888008,6.0625,12.358070366856856,67139431.875
1986,Crime,18.892239500000002,6.55,2.6107410154320987,13946853.5
1986,Drama,18.455137444444446,6.444444444444445,4.513631332951478,32358969.333333332
1986,Fantasy,20.667105,6.225,1.0334544102852854,24061403.75
1986,Horror,18.052657285714286,6.214285714285714,3.4922579451593436,36151825.571428575
1986,Music,12.113235,6.6,1.5499358,38748395.0
1986,Mystery,9.6745275,5.75,3.2453428333333334,9736028.5
