"행정구역(시군구)별",2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"목포시",212144,105457,106687,211257,105033,106224,210806,104769,106037
"여수시",269593,137288,132305,269096,136998,132098,268823,136855,131968
"순천시",276801,138236,138565,276551,138115,138436,276375,138009,138366
"나주시",116922,59063,57859,116853,59035,57818,116891,59048,57843
"광양시",153596,80479,73117,154019,80705,73314,154266,80852,73414
"담양군",44913,22689,22224,44812,22620,22192,44800,22594,22206
"곡성군",26689,13263,13426,26635,13227,13408,26638,13236,13402
"구례군",24095,11780,12315,24083,11774,12309,24056,11755,12301
"고흥군",60605,29710,30895,60535,29703,30832,60385,29645,30740
"보성군",37315,18314,19001,37247,18276,18971,37164,18229,18935
"화순군",60919,30203,30716,60943,30221,30722,60886,30189,30697
"장흥군",34594,16935,17659,34559,16925,17634,34544,16913,17631
"강진군",32446,15873,16573,32352,15842,16510,32306,15822,16484
"해남군",63747,31911,31836,63601,31848,31753,63457,31768,31689
"영암군",51798,27129,24669,51669,27075,24594,51573,27025,24548
"무안군",90807,45637,45170,91585,46002,45583,92009,46195,45814
"함평군",30279,15387,14892,30208,15351,14857,30107,15312,14795
"영광군",51340,25693,25647,51432,25721,25711,51688,25844,25844
"장성군",42247,21687,20560,42177,21645,20532,42129,21649,20480
"완도군",46014,23257,22757,45912,23219,22693,45837,23169,22668
"진도군",28704,14261,14443,28690,14252,14438,28623,14217,14406
"신안군",38179,20583,17596,38174,20584,17590,38133,20574,17559
"경상북도",2542072,1285674,1256398,2540046,1284828,1255218,2537955,1283804,1254151
"포항시",492435,250169,242266,492256,250096,242160,492041,249977,242064
"남구",222715,115714,107001,222387,115538,106849,222176,115439,106737
"북구",269720,134455,135265,269869,134558,135311,269865,134538,135327
"경주시",245601,123056,122545,245475,122986,122489,245365,122919,122446
"김천시",136012,68343,67669,135855,68283,67572,135767,68229,67538
"안동시",153660,76157,77503,153425,76047,77378,153348,76034,77314
"구미시",404826,209055,195771,404867,209082,195785,404691,209001,195690
"영주시",99604,49485,50119,99479,49437,50042,99309,49353,49956
"영천시",99638,50946,48692,99332,50814,48518,99034,50664,48370
"상주시",92778,45735,47043,92579,45662,46917,92452,45622,46830
"문경시",67756,33268,34488,67726,33283,34443,67544,33185,34359
"경산시",266670,134049,132621,266753,134121,132632,266951,134220,132731
"의성군",49253,24481,24772,49116,24425,24691,48994,24364,24630
"청송군",23848,11962,11886,23823,11934,11889,23776,11913,11863
"영양군",15452,7700,7752,15436,7695,7741,15403,7680,7723
"영덕군",33499,16007,17492,33435,15979,17456,33356,15944,17412
"청도군",40930,20330,20600,40844,20299,20545,40778,20283,20495
"고령군",30231,15597,14634,30200,15571,14629,30200,15565,14635
"성주군",41724,21830,19894,41691,21816,19875,41591,21755,19836
"칠곡군",108620,57033,51587,108390,56928,51462,108119,56786,51333
"예천군",54890,27044,27846,54888,27043,27845,54873,27034,27839
"봉화군",29197,14884,14313,29115,14828,14287,29082,14818,14264
"울진군",46241,23397,22844,46173,23368,22805,46112,23331,22781
"울릉군",9207,5146,4061,9188,5131,4057,9169,5127,4042
"경상남도",3235125,1629977,1605148,3233629,1629223,1604406,3232297,1628643,1603654
"창원시",1003176,507814,495362,1002608,507482,495126,1001902,507069,494833
"의창구",210608,107094,103514,210332,106932,103400,209956,106689,103267
"성산구",244933,125035,119898,245031,125062,119969,244953,125017,119936
"마산합포구",179160,88958,90202,179049,88895,90154,178820,88800,90020
"마산회원구",179034,89283,89751,178816,89160,89656,178922,89198,89724
"진해구",189441,97444,91997,189380,97433,91947,189251,97365,91886
"진주시",339753,167802,171951,339577,167724,171853,339388,167610,171778
"통영시",119227,59865,59362,119047,59777,59270,118896,59708,59188
"사천시",108792,55129,53663,108701,55095,53606,108650,55068,53582
"사천남양출장소",0,0,0,0,0,0,0,0,0
"김해시",531891,269018,262873,531953,269012,262941,531966,269077,262889
"장유출장소",0,0,0,0,0,0,0,0,0
"밀양시",101145,49990,51155,100945,49897,51048,100802,49839,50963
"거제시",233034,122073,110961,232938,122049,110889,232921,122060,110861
"양산시",356811,178584,178227,357378,178913,178465,358074,179264,178810
"양산시웅상출장소",0,0,0,0,0,0,0,0,0
"의령군",25241,12592,12649,25230,12578,12652,25168,12547,12621
"함안군",59358,30411,28947,59244,30372,28872,59102,30309,28793
"창녕군",56415,28257,28158,56280,28185,28095,56246,28167,28079
"고성군",48597,24629,23968,48463,24556,23907,48356,24508,23848
"남해군",40248,19601,20647,40166,19545,20621,40060,19502,20558
"하동군",41054,20498,20556,40984,20469,20515,40909,20433,20476
"산청군",33470,16580,16890,33408,16538,16870,33373,16538,16835
"함양군",36441,17735,18706,36369,17707,18662,36307,17688,18619
"거창군",59817,29438,30379,59774,29414,30360,59737,29396,30341
"합천군",40655,19961,20694,40564,19910,20654,40440,19860,20580
"제주특별자치도",672068,336330,335738,671540,336048,335492,671064,335717,335347
"제주시",489567,244431,245136,489171,244234,244937,488844,244006,244838
"서귀포시",182501,91899,90602,182369,91814,90555,182220,91711,90509
