충전소명,주소,ID,충전기 형태,충전기 용량,X,Y
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,3,AC완속(싱글),7,128.597100677,35.891171200
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,1,3Mode,50,128.597100677,35.891171200
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,1,AC완속(싱글),7,128.706040382,35.841361551
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,3,AC완속(싱글),7,128.706040382,35.841361551
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,2,AC완속(싱글),7,128.706040382,35.841361551
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,4,AC완속(싱글),7,128.706040382,35.841361551
(RS)대구시_수성의료지구(대구도시공사),"대구 수성구 알파시티1로 194(대흥동, 수성의료지구) 맞은편 전기차충전소",3,3Mode,50,128.681825817,35.836912645
(RS)대구시_수성의료지구(대구도시공사),"대구 수성구 알파시티1로 194(대흥동, 수성의료지구) 맞은편 전기차충전소",2,3Mode,50,128.681825817,35.836912645
(RS)대구시_수성의료지구(대구도시공사),"대구 수성구 알파시티1로 194(대흥동, 수성의료지구) 맞은편 전기차충전소",1,3Mode,50,128.681825817,35.836912645
(RS)대구시_수성아트피아,"대구 수성구 무학로 180(지산동, 수성아트피아) 지상1층 주차장",1,3Mode,100,128.628297041,35.829351416
(RS)대구시_수성소방서,"대구 수성구 청호로 87(범물동, 수성소방서청사) 지상1층 주차장",1,3Mode,100,128.644225017,35.825443612
(RS)대구시_수성대학교 입구(좌),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",2,AC완속(싱글),7,128.648124330,35.853972373
(RS)대구시_수성대학교 입구(좌),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",1,AC완속(싱글),7,128.648124330,35.853972373
(RS)대구시_수성대학교 입구(우),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",1,AC완속(싱글),7,128.648124330,35.853972373
(RS)대구시_수성대학교 입구(우),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",2,AC완속(싱글),7,128.648124330,35.853972373
(RS)대구시_수성구청,"대구 수성구 달구벌대로 2450(범어동, 수성구청) 지상1층 주차장",2,AC완속(싱글),7,128.630614833,35.858209911
(RS)대구시_수성구청,"대구 수성구 달구벌대로 2450(범어동, 수성구청) 지상1층 주차장",1,3Mode,50,128.630614833,35.858209911
(RS)대구시_송현2동 행정복지센터,"대구 달서구 월배로83길 120-14(송현동, 송현2동행정복지센터) 송현2동 행정복지센터",1,3Mode,50,128.545582051,35.832788192
(RS)대구시_송현1동행정복지센터,"대구 달서구 중흥로8길 41(송현동, 송현1동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.554736825,35.829230033
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",3,AC완속(싱글),7,128.495553739,35.832441608
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",1,AC완속(싱글),7,128.495553739,35.832441608
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",2,AC완속(싱글),7,128.495553739,35.832441608
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",4,AC완속(싱글),7,128.495553739,35.832441608
(RS)대구시_성당두산위브,"대구 달서구 당산로 82(성당동, 성당두산위브) 성당두산위브",2,AC완속(싱글),7,128.545207355,35.844887192
(RS)대구시_성당두산위브,"대구 달서구 당산로 82(성당동, 성당두산위브) 성당두산위브",3,AC완속(싱글),7,128.545207355,35.844887192
(RS)대구시_성당두산위브,"대구 달서구 당산로 82(성당동, 성당두산위브) 성당두산위브",1,3Mode,50,128.545207355,35.844887192
(RS)대구시_성당동행정복지센터,"대구 달서구 야외음악당로 38(성당동, 성당동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.553148350,35.840614391
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",2,AC완속(싱글),7,128.580773120,35.868909094
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",1,3Mode,50,128.580773120,35.868909094
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",4,AC완속(싱글),7,128.580773120,35.868909094
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",3,AC완속(싱글),7,128.580773120,35.868909094
(RS)대구시_서대구역(남측) 주차장,"대구 서구 와룡로 527(이현동, 서대구역) 서대구역 남측 주차장",5,3Mode,50,128.540176277,35.881483641
(RS)대구시_서대구역(남측) 주차장,"대구 서구 와룡로 527(이현동, 서대구역) 서대구역 남측 주차장",2,3Mode,50,128.540176277,35.881483641
(RS)대구시_서대구역(남측) 주차장,"대구 서구 와룡로 527(이현동, 서대구역) 서대구역 남측 주차장",1,3Mode,50,128.540176277,35.881483641
(RS)대구시_서대구산업단지근로자복지회관,"대구 서구 국채보상로 124(중리동, 서대구산업단지) 지상1층 주차장",1,3Mode,50,128.544746134,35.868509798
(RS)대구시_서구청,"대구 서구 국채보상로 257(평리동, 서구청) 지상1층 주차장",1,3Mode,50,128.559253546,35.871763853
(RS)대구시_서구국민체육센터,"대구 서구 문화로 72(이현동, 서구국민체육센터) 지상1층 주차장",2,3Mode,100,128.540973638,35.873430599
(RS)대구시_서구국민체육센터,"대구 서구 문화로 72(이현동, 서구국민체육센터) 지상1층 주차장",1,3Mode,50,128.540973638,35.873430599
(RS)대구시_상호림공원,"대구 달서구 달서대로91길 115(호림동, 상호림공원) 상호림공원",1,3Mode,50,128.479158222,35.838730451
(RS)대구시_상중이동 행정복지센터,"대구 서구 당산로 343(중리동, 상중이동행정복지센터) 지상1층 주차장",1,3Mode,50,128.546127013,35.867025726
(RS)대구시_상인2동행정복지센터,"대구 달서구 상원로 27(상인동, 상인2동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.536258470,35.812569121
(RS)대구시_상인1동행정복지센터,"대구 달서구 상인서로 40(상인동, 상인1동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.545006492,35.814257102
(RS)대구시_상동행정복지센터,"대구 수성구 들안로9길 56(상동, 상동 행정복지센터)",1,AC완속(싱글),7,128.615461103,35.832126877
(RS)대구시_삼덕동,"대구 중구 달구벌대로447길 72-11(삼덕동3가, 삼덕동주민센터)",1,AC완속(싱글),7,128.608940323,35.865526553
(RS)대구시_산격2동행정복지센터,"대구 북구 동북로 163(산격동, 산격대우아파트) 지상1층 주차장",1,AC완속(싱글),7,128.612524183,35.898911117
(RS)대구시_산격1동,"대구 북구 연암로36길 6(산격동, 산격1동 행정복지센터)",1,3Mode,100,128.596879283,35.900371545
(RS)대구시_비슬산자연휴양림공영주차장,"대구 달성군 유가읍 휴양림길 236(용리, 비슬산 자연휴양림) 지상1층 주차장",1,3Mode,50,128.505669258,35.693252151
(RS)대구시_비산4동행정복지센터,"대구 서구 국채보상로78길 29-4(비산동, 비산4동 주민센터) 지상1층 주차장",1,AC완속(싱글),7,128.574307759,35.869749154
(RS)대구시_비산1동행정복지센터,"대구 서구 북비산로65길 18(비산동, 비산1동 주민센터) 지상1층 주차장",1,AC완속(싱글),7,128.568966574,35.881179811
(RS)대구시_불로봉무동행정복지센터,"대구 동구 팔공로25길 16(불로동, 불로봉무동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.639328016,35.910248710
(RS)대구시_북구청,대구 북구 옥산로 65(침산동) 지상1층 주차장,2,AC완속(싱글),7,128.582845854,35.885683341
(RS)대구시_북구청,대구 북구 옥산로 65(침산동) 지상1층 주차장,1,3Mode,50,128.582845854,35.885683341
(RS)대구시_봉덕3동 행정복지센터,"대구 남구 중앙대로22길 100(봉덕동, 봉덕3동 주민센터) 봉덕3동 행정복지센터",1,3Mode,50,128.595956508,35.842476156
(RS)대구시_봉덕2동행정복지센터,"대구 남구 이천로10길 50(봉덕동, 봉덕2동주민센터) 지상1층 주차장",1,AC완속(싱글),7,128.601107866,35.843829507
(RS)대구시_본리동 행정복지센터,"대구 달서구 당산로 37-14(본리동, 본리동행정복지센터, 본리종합사회복지관) 본리동행정복지센터",1,3Mode,50,128.543166987,35.841015690
(RS)대구시_본동행정복지센터,"대구 달서구 구마로26길 62(본동, 본동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.541038046,35.834423574
(RS)대구시_복현장미공원,"대구 북구 경진로남1길 40(복현동, 장미공원) 실내주차장",1,3Mode,50,128.617310994,35.893371656
(RS)대구시_복현2동행정복지센터,"대구 북구 복현로8길 16-5(복현동, 복현2동 행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.625489740,35.895362708
(RS)대구시_범어1동,"대구 수성구 범어천로 97(범어동, 범어1동 행정복지센터) 지상1층 주차장",1,3Mode,100,128.622048404,35.855543288
(RS)대구시_범물1동,"대구 수성구 범안로 76(범물동, 범물1동 행정복지센터) 지상1층 주차장",1,3Mode,100,128.645974767,35.817749751
(RS)대구시_방촌동 행정복지센터,"대구 동구 동촌로48길 26(방촌동, 방촌동주민센터) 지상1층 주차장",1,3Mode,50,128.665256554,35.880036366
(RS)대구시_무태조야동 행정복지센터,"대구 북구 호국로43길 20(서변동, 무태조야동 행정복지센터) 무태조야동 행정복지센터",1,3Mode,50,128.597046664,35.921353639
(RS)대구시_명성푸르지오,"대구 북구 침산로 153(침산동, 명성푸르지오) 지하2층 주차장",1,3Mode,50,128.590068084,35.890114615
(RS)대구시_명성푸르지오,"대구 북구 침산로 153(침산동, 명성푸르지오) 지하2층 주차장",3,AC완속(싱글),7,128.590068084,35.890114615
