충전소명,주소,ID,충전기 형태,충전기 용량
(RS)대구시_아양아트센터,"대구 동구 효동로2길 24(효목동, 아양아트센터) 지상1층 주차장",02,3Mode,100
(RS)대구시_아양아트센터,"대구 동구 효동로2길 24(효목동, 아양아트센터) 지상1층 주차장",01,3Mode,100
(RS)대구시_신암공원,"대구 동구 신암북로11길 8(신암동, 신암공원) 지상1층 주차장",01,3Mode,100
(RS)대구시_신암2동 행정복지센터,"대구 동구 신성로 56(신암동, 신암2동주민센터) 신암2동 행정복지센터",01,3Mode,50
(RS)대구시_신암1동 행정복지센터,"대구 동구 아양로7길 27(신암동, 신암1동행정복지센터) 지상1층 주차장",01,3Mode,100
(RS)대구시_신매공원,"대구 수성구 달구벌대로650길 67(신매동, 신매공원 공중화장실) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_신매공원,"대구 수성구 달구벌대로650길 67(신매동, 신매공원 공중화장실) 지상1층 주차장",01,3Mode,50
(RS)대구시_신매3공영주차장,"대구광역시 수성구 신매동 566-4(신매동, 공영주차장) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_신당동,"대구 달서구 선원로 60(신당동, 신당동행정복지센터)",01,3Mode,100
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,02,AC완속(싱글),7
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,04,AC완속(싱글),7
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,03,AC완속(싱글),7
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,01,3Mode,50
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,01,AC완속(싱글),7
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,03,AC완속(싱글),7
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,02,AC완속(싱글),7
(RS)대구시_시지근린공원,대구 수성구 달구벌대로637길 5(매호동) 지하1층 주차장,04,AC완속(싱글),7
(RS)대구시_수성의료지구(대구도시공사),"대구 수성구 알파시티1로 194(대흥동, 수성의료지구) 맞은편 전기차충전소",03,3Mode,50
(RS)대구시_수성의료지구(대구도시공사),"대구 수성구 알파시티1로 194(대흥동, 수성의료지구) 맞은편 전기차충전소",02,3Mode,50
(RS)대구시_수성의료지구(대구도시공사),"대구 수성구 알파시티1로 194(대흥동, 수성의료지구) 맞은편 전기차충전소",01,3Mode,50
(RS)대구시_수성의료지구,대구 수성구 대흥동 911 전기차충전소(알파시티3로 대구스타디움 방면으로 300M 진입),01,3Mode,50
(RS)대구시_수성의료지구,대구 수성구 대흥동 911 전기차충전소(알파시티3로 대구스타디움 방면으로 300M 진입),02,3Mode,50
(RS)대구시_수성의료지구,대구 수성구 대흥동 911 전기차충전소(알파시티3로 대구스타디움 방면으로 300M 진입),04,3Mode,50
(RS)대구시_수성의료지구,대구 수성구 대흥동 911 전기차충전소(알파시티3로 대구스타디움 방면으로 300M 진입),05,AC완속(싱글),7
(RS)대구시_수성아트피아,"대구 수성구 무학로 180(지산동, 수성아트피아) 지상1층 주차장",01,3Mode,100
(RS)대구시_수성소방서,"대구 수성구 청호로 87(범물동, 수성소방서청사) 지상1층 주차장",01,3Mode,100
(RS)대구시_수성대학교 입구(좌),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_수성대학교 입구(좌),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",01,AC완속(싱글),7
